"ReportPath","GeneratedAtUtc","MetricsFile","EventCount","UiCloneP95","StreamDispatchP95","DiffDurationP95","SiteCacheUpdateP95","HottestSite","HottestSiteUiClone","HottestHost","HottestHostUiClone"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-2025-12-20.json","2025-12-20T20:58:04.3815616Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-20.json","26","0.0","0.0","12.9495","80.07125","WLLS","0.0","SW1","0.0"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-2025-12-21.json","2025-12-21T13:55:45.3585506Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-21.json","50","32.07105","0.50455","40.1222","685.1326","WLLS","32.9826","WLLS-A05-AS-15","39.204"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-2025-12-22.json","2025-12-22T14:13:12.0007770Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-22.json","0","","","","","","","",""
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-2025-12-23.json","2025-12-23T19:23:09.2217929Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-23.json","75","33.7722","0.3483","57.1386","68.3292","WLLS","34.7011","WLLS-A05-AS-15","78.089"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-2025-12-24.json","2025-12-24T16:33:58.2271091Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-24.json","0","","","","","","","",""
"C:\Users\Werem\AppData\Local\Temp\b8bc8be9-3b3a-4a95-8386-d8c7b3ecdb2a\SyntheticOutput\Logs\Reports\SyntheticSmoke\Synthetic-5.1\InterfaceSyncTiming-smoke-20251226-164451.json","12/26/2025 11:44:52 PM","C:\Users\Werem\Projects\StateTrace\Tests\Fixtures\Synthetic\5.1\IngestionMetrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-144928.json","12/26/2025 9:49:41 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","1738","32.47035","0.39215","45.54895","55.3247","WLLS","34.4756","WLLS-A01-AS-11","40.5876"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-smoke-20251226-145135.json","12/26/2025 9:51:45 PM","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","1738","32.47035","0.39215","45.54895","55.3247","WLLS","34.4756","WLLS-A01-AS-11","40.5876"
"C:\Users\Werem\AppData\Local\Temp\642852b7-bcd4-46ae-81b8-b5d2e689f0bb\InterfaceSyncTiming.json","12/26/2025 9:56:13 PM","C:\Users\Werem\AppData\Local\Temp\642852b7-bcd4-46ae-81b8-b5d2e689f0bb\metrics.json","2","1","1","1","2.95","BOYO","1","BOYO-A01-AS-01","1"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-2025-12-07.json","2025-12-07T11:42:34.3771515Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-07.json","2","45.962","16.27035","41.0596","101.16185","BOYO","48.04","BOYO-A05-AS-42","48.04"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-2025-12-10.json","2025-12-10T19:32:32.0943809Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-10.json","145","0.0","0.0","20.3922","531.9706","BOYO","54.67","BOYO-A05-AS-42","54.67"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-2025-12-12.json","2025-12-12T21:52:56.4491267Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-12.json","338","0.0","0.0","11.84115","1031.67325","WLLS","0.0","SW1","0.0"
"C:\Users\Werem\Projects\StateTrace\Logs\Reports\InterfaceSyncTiming-2025-12-26.json","2025-12-26T15:05:08.8138329Z","C:\Users\Werem\Projects\StateTrace\Logs\IngestionMetrics\2025-12-26.json","0","","","","","","","",""
